"URI"	"Label"	"URIparent"	"LabelParent"
<https://www.datatourisme.fr/ontology/core#ArtistSigning>,Artist signing,<https://www.datatourisme.fr/ontology/core#CulturalEvent>,Cultural event
<https://www.datatourisme.fr/ontology/core#PointOfView>,PointOfView,<https://www.datatourisme.fr/ontology/core#NaturalHeritage>,Natural heritage
<https://www.datatourisme.fr/ontology/core#Pond>,Pond,<https://www.datatourisme.fr/ontology/core#NaturalHeritage>,Natural heritage
<https://www.datatourisme.fr/ontology/core#Product>,Product,<https://www.datatourisme.fr/ontology/core#PointOfInterest>,Point of interest
<https://www.datatourisme.fr/ontology/core#Producer>,Producer,<https://www.datatourisme.fr/ontology/core#TastingProvider>,Tasting provider
<https://www.datatourisme.fr/ontology/core#ProducersGroup>,Group of producers,<https://www.datatourisme.fr/ontology/core#TastingProvider>,Tasting provider
<https://www.datatourisme.fr/ontology/core#PublicLavatories>,Public lavatories,<https://www.datatourisme.fr/ontology/core#ConvenientService>,Convenient service
<https://www.datatourisme.fr/ontology/core#Racetrack>,Racetrack,<https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace>,Sports and leisure place
<https://www.datatourisme.fr/ontology/core#RacingCircuit>,Racing circuit,<https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace>,Sports and leisure place
<https://www.datatourisme.fr/ontology/core#RailBike>,Rail Bike,<https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace>,Sports and leisure place
<https://www.datatourisme.fr/ontology/core#ProfessionalTourGuide>,Professional tour guide,<https://www.datatourisme.fr/ontology/core#TouristInformationCenter>,Tourist information center
<https://www.datatourisme.fr/ontology/core#ParkAndGarden>,Park and garden,<https://www.datatourisme.fr/ontology/core#CulturalSite>,Cultural site
<https://www.datatourisme.fr/ontology/core#NonHousingRealEstateRental>,Room rental,<https://www.datatourisme.fr/ontology/core#Rental>,Rental
<https://www.datatourisme.fr/ontology/core#Orchard>,Conservatory orchard,<https://www.datatourisme.fr/ontology/core#TechnicalHeritage>,"Industrial, handcraft, rural, agricultural and technical heritage"
<https://www.datatourisme.fr/ontology/core#Organisation>,Organisation,<https://www.datatourisme.fr/ontology/core#Agent>,Agent
<https://www.datatourisme.fr/ontology/core#Opera>,Opera,<https://www.datatourisme.fr/ontology/core#CulturalEvent>,Cultural event
<https://www.datatourisme.fr/ontology/core#Palace>,Palace,<https://www.datatourisme.fr/ontology/core#RemarkableBuilding>,Remarkable civil building
<https://www.datatourisme.fr/ontology/core#OpenDay>,Open day,<https://www.datatourisme.fr/ontology/core#SaleEvent>,Sale event
<https://www.datatourisme.fr/ontology/core#Parade>,Parade,<https://www.datatourisme.fr/ontology/core#SocialEvent>,Social event
<https://www.datatourisme.fr/ontology/core#NightClub>,Night club,<https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace>,Sports and leisure place
<https://www.datatourisme.fr/ontology/core#Pharmacy>,Pharmacy,<https://www.datatourisme.fr/ontology/core#MedicalPlace>,Medical place
<https://www.datatourisme.fr/ontology/core#Peak>,Peak,<https://www.datatourisme.fr/ontology/core#NaturalHeritage>,Natural heritage
<https://www.datatourisme.fr/ontology/core#Plain>,Plain,<https://www.datatourisme.fr/ontology/core#NaturalHeritage>,Natural heritage
<https://www.datatourisme.fr/ontology/core#Plateau>,Plateau,<https://www.datatourisme.fr/ontology/core#NaturalHeritage>,Natural heritage
<https://www.datatourisme.fr/ontology/core#Pier>,Pier,<https://www.datatourisme.fr/ontology/core#TechnicalHeritage>,"Industrial, handcraft, rural, agricultural and technical heritage"
