,locality_name,postal_code,center_latitude,center_longitude,locality
334,Saint-Vulbas,1150,45.822,5.27,Saint-Vulbas (1150)
335,Salavre,1270,46.364,5.347,Salavre (1270)
336,Samognat,1580,46.265,5.586,Samognat (1580)
337,Sandrans,1400,46.066,4.983,Sandrans (1400)
338,Sault-Brénaz,1150,45.865,5.404,Sault-Brénaz (1150)
339,Sauverny,1220,46.313,6.11,Sauverny (1220)
340,Savigneux,1480,45.997,4.858,Savigneux (1480)
341,Ségny,1170,46.294,6.073,Ségny (1170)
342,Seillonnaz,1470,45.798,5.498,Seillonnaz (1470)
343,Sergy,1630,46.263,5.989,Sergy (1630)
344,Sermoyer,1190,46.498,4.979,Sermoyer (1190)
345,Serrières-de-Briord,1470,45.813,5.441,Serrières-de-Briord (1470)
346,Serrières-sur-Ain,1450,46.147,5.45,Serrières-sur-Ain (1450)
347,Servas,1960,46.139,5.179,Servas (1960)
348,Servignat,1560,46.435,5.056,Servignat (1560)
349,Seyssel,1420,45.948,5.826,Seyssel (1420)
350,Simandre-sur-Suran,1250,46.234,5.422,Simandre-sur-Suran (1250)
351,Sonthonnax-la-Montagne,1580,46.223,5.506,Sonthonnax-la-Montagne (1580)
352,Souclin,1150,45.878,5.431,Souclin (1150)
353,Sulignat,1400,46.174,4.958,Sulignat (1400)
354,Talissieu,1510,45.864,5.721,Talissieu (1510)
355,Tenay,1230,45.923,5.514,Tenay (1230)
356,Thil,1120,45.817,5.018,Thil (1120)
357,Thoiry,1710,46.244,5.965,Thoiry (1710)
358,Thoissey,1140,46.17,4.794,Thoissey (1140)
359,Torcieu,1230,45.921,5.404,Torcieu (1230)
360,Tossiat,1250,46.138,5.304,Tossiat (1250)
361,Toussieux,1600,45.96,4.829,Toussieux (1600)
362,Tramoyes,1390,45.875,4.964,Tramoyes (1390)
363,La Tranclière,1160,46.097,5.261,La Tranclière (1160)
364,Val-Revermont,1370,46.28,5.361,Val-Revermont (1370)
365,Trévoux,1600,45.941,4.771,Trévoux (1600)
366,Valeins,1140,46.115,4.866,Valeins (1140)
367,Vandeins,1660,46.218,5.082,Vandeins (1660)
368,Varambon,1160,46.043,5.295,Varambon (1160)
369,Vaux-en-Bugey,1150,45.92,5.364,Vaux-en-Bugey (1150)
370,Verjon,1270,46.346,5.348,Verjon (1270)
371,Vernoux,1560,46.485,5.106,Vernoux (1560)
372,Versailleux,1330,45.985,5.112,Versailleux (1330)
373,Versonnex,1210,46.3,6.101,Versonnex (1210)
374,Vesancy,1170,46.361,6.085,Vesancy (1170)
375,Vescours,1560,46.474,5.026,Vescours (1560)
376,Vésines,1570,46.359,4.863,Vésines (1570)
377,Vieu-d'Izenave,1430,46.085,5.549,Vieu-d'Izenave (1430)
378,Villars-les-Dombes,1330,45.993,5.045,Villars-les-Dombes (1330)
379,Villebois,1150,45.849,5.447,Villebois (1150)
380,Villemotier,1270,46.346,5.31,Villemotier (1270)
381,Villeneuve,1480,46.032,4.852,Villeneuve (1480)
382,Villereversure,1250,46.193,5.395,Villereversure (1250)
383,Villes,1200,46.095,5.757,Villes (1200)
384,Villette-sur-Ain,1320,46.01,5.252,Villette-sur-Ain (1320)
385,Villieu-Loyes-Mollon,1800,45.932,5.23,Villieu-Loyes-Mollon (1800)
386,Viriat,1440,46.251,5.223,Viriat (1440)
387,Virieu-le-Grand,1510,45.846,5.64,Virieu-le-Grand (1510)
388,Arvière-en-Valromey,1260,45.906,5.737,Arvière-en-Valromey (1260)
389,Virignin,1300,45.727,5.713,Virignin (1300)
390,Vongnes,1350,45.813,5.725,Vongnes (1350)
391,Vonnas,1540,46.217,4.997,Vonnas (1540)
392,Abbécourt,2300,49.599,3.177,Abbécourt (2300)
393,Achery,2800,49.694,3.397,Achery (2800)
394,Acy,2200,49.347,3.418,Acy (2200)
395,Agnicourt-et-Séchelles,2340,49.717,3.96,Agnicourt-et-Séchelles (2340)
396,Aguilcourt,2190,49.394,3.968,Aguilcourt (2190)
397,Aisonville-et-Bernoville,2110,49.93,3.511,Aisonville-et-Bernoville (2110)
398,Aizelles,2820,49.485,3.819,Aizelles (2820)
399,Aizy-Jouy,2370,49.438,3.512,Aizy-Jouy (2370)
400,Alaincourt,2240,49.767,3.366,Alaincourt (2240)
401,Allemant,2320,49.462,3.454,Allemant (2320)
402,Ambleny,2290,49.376,3.183,Ambleny (2290)
403,Ambrief,2200,49.322,3.404,Ambrief (2200)
404,Amifontaine,2190,49.499,3.923,Amifontaine (2190)
405,Amigny-Rouy,2700,49.611,3.303,Amigny-Rouy (2700)
406,Ancienville,2600,49.219,3.208,Ancienville (2600)
407,Andelain,2800,49.641,3.37,Andelain (2800)
408,Anguilcourt-le-Sart,2800,49.694,3.428,Anguilcourt-le-Sart (2800)
409,Anizy-le-Grand,2320,49.504,3.431,Anizy-le-Grand (2320)
410,Annois,2480,49.721,3.176,Annois (2480)
