,locality_name,reg_name,dep_name,postal_code,center_latitude,center_longitude,locality
142,Francheleins,Auvergne-Rhône-Alpes,Ain,1090,46.074,4.813,"Francheleins (1090), Auvergne-Rhône-Alpes"
143,Frans,Auvergne-Rhône-Alpes,Ain,1480,45.994,4.78,"Frans (1480), Auvergne-Rhône-Alpes"
144,Garnerans,Auvergne-Rhône-Alpes,Ain,1140,46.214,4.828,"Garnerans (1140), Auvergne-Rhône-Alpes"
145,Genouilleux,Auvergne-Rhône-Alpes,Ain,1090,46.12,4.793,"Genouilleux (1090), Auvergne-Rhône-Alpes"
146,Béard-Géovreissiat,Auvergne-Rhône-Alpes,Ain,1460,46.19,5.551,"Béard-Géovreissiat (1460), Auvergne-Rhône-Alpes"
147,Géovreisset,Auvergne-Rhône-Alpes,Ain,1100,46.251,5.613,"Géovreisset (1100), Auvergne-Rhône-Alpes"
148,Gex,Auvergne-Rhône-Alpes,Ain,1170,46.347,6.046,"Gex (1170), Auvergne-Rhône-Alpes"
149,Giron,Auvergne-Rhône-Alpes,Ain,1130,46.223,5.78,"Giron (1130), Auvergne-Rhône-Alpes"
150,Gorrevod,Auvergne-Rhône-Alpes,Ain,1190,46.415,4.951,"Gorrevod (1190), Auvergne-Rhône-Alpes"
151,Grand-Corent,Auvergne-Rhône-Alpes,Ain,1250,46.207,5.433,"Grand-Corent (1250), Auvergne-Rhône-Alpes"
152,Grièges,Auvergne-Rhône-Alpes,Ain,1290,46.263,4.846,"Grièges (1290), Auvergne-Rhône-Alpes"
153,Grilly,Auvergne-Rhône-Alpes,Ain,1220,46.332,6.114,"Grilly (1220), Auvergne-Rhône-Alpes"
154,Groissiat,Auvergne-Rhône-Alpes,Ain,1100,46.226,5.611,"Groissiat (1100), Auvergne-Rhône-Alpes"
155,Guéreins,Auvergne-Rhône-Alpes,Ain,1090,46.107,4.782,"Guéreins (1090), Auvergne-Rhône-Alpes"
156,Hautecourt-Romanèche,Auvergne-Rhône-Alpes,Ain,1250,46.161,5.429,"Hautecourt-Romanèche (1250), Auvergne-Rhône-Alpes"
157,Plateau d'Hauteville,Auvergne-Rhône-Alpes,Ain,1110,45.97,5.576,"Plateau d'Hauteville (1110), Auvergne-Rhône-Alpes"
158,Haut Valromey,Auvergne-Rhône-Alpes,Ain,1260,46.032,5.703,"Haut Valromey (1260), Auvergne-Rhône-Alpes"
159,Illiat,Auvergne-Rhône-Alpes,Ain,1140,46.187,4.888,"Illiat (1140), Auvergne-Rhône-Alpes"
160,Injoux-Génissiat,Auvergne-Rhône-Alpes,Ain,1200,46.05,5.76,"Injoux-Génissiat (1200), Auvergne-Rhône-Alpes"
161,Innimond,Auvergne-Rhône-Alpes,Ain,1680,45.792,5.574,"Innimond (1680), Auvergne-Rhône-Alpes"
162,Izenave,Auvergne-Rhône-Alpes,Ain,1430,46.038,5.524,"Izenave (1430), Auvergne-Rhône-Alpes"
163,Izernore,Auvergne-Rhône-Alpes,Ain,1580,46.218,5.563,"Izernore (1580), Auvergne-Rhône-Alpes"
164,Izieu,Auvergne-Rhône-Alpes,Ain,1300,45.656,5.639,"Izieu (1300), Auvergne-Rhône-Alpes"
165,Jassans-Riottier,Auvergne-Rhône-Alpes,Ain,1480,45.978,4.76,"Jassans-Riottier (1480), Auvergne-Rhône-Alpes"
